0.0900	0.0900	0.0900	0.0900	0.0900	0.0900	0.0900	0.0900
0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545	0.1545
0.0892	0.0892	0.0892	0.0892	0.0892	0.0892	0.0892	0.0892
0.1274	0.1274	0.1274	0.1274	0.1274	0.1274	0.1274	0.1274
-0.1778	-0.1778	-0.1778	-0.1778	-0.1778	-0.1778	-0.1778	-0.1778
0.2175	0.2175	0.2175	0.2175	0.2175	0.2175	0.2175	0.2175
0.1215	0.1215	0.1215	0.1215	0.1215	0.1215	0.1215	0.1215
-0.0051	-0.0051	-0.0051	-0.0051	-0.0051	-0.0051	-0.0051	-0.0051
-0.0864	-0.0864	-0.0864	-0.0864	-0.0864	-0.0864	-0.0864	-0.0864
0.1109	0.1109	0.1109	0.1109	0.1109	0.1109	0.1109	0.1109
-0.2189	-0.2189	-0.2189	-0.2189	-0.2189	-0.2189	-0.2189	-0.2189
-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006	-0.0006
-0.0222	-0.0222	-0.0222	-0.0222	-0.0222	-0.0222	-0.0222	-0.0222
-0.1414	-0.1414	-0.1414	-0.1414	-0.1414	-0.1414	-0.1414	-0.1414
-0.0978	-0.0978	-0.0978	-0.0978	-0.0978	-0.0978	-0.0978	-0.0978
-0.1988	-0.1988	-0.1988	-0.1988	-0.1988	-0.1988	-0.1988	-0.1988
-0.0815	-0.0815	-0.0815	-0.0815	-0.0815	-0.0815	-0.0815	-0.0815
0.2356	0.2356	0.2356	0.2356	0.2356	0.2356	0.2356	0.2356
-0.1488	-0.1488	-0.1488	-0.1488	-0.1488	-0.1488	-0.1488	-0.1488
-0.0749	-0.0749	-0.0749	-0.0749	-0.0749	-0.0749	-0.0749	-0.0749
-0.0407	-0.0407	-0.0407	-0.0407	-0.0407	-0.0407	-0.0407	-0.0407
-0.1366	-0.1366	-0.1366	-0.1366	-0.1366	-0.1366	-0.1366	-0.1366
-0.3379	-0.3379	-0.3379	-0.3379	-0.3379	-0.3379	-0.3379	-0.3379
-0.1348	-0.1348	-0.1348	-0.1348	-0.1348	-0.1348	-0.1348	-0.1348
-0.0343	-0.0343	-0.0343	-0.0343	-0.0343	-0.0343	-0.0343	-0.0343
-0.0057	-0.0057	-0.0057	-0.0057	-0.0057	-0.0057	-0.0057	-0.0057
0.0791	0.0791	0.0791	0.0791	0.0791	0.0791	0.0791	0.0791
-0.1582	-0.1582	-0.1582	-0.1582	-0.1582	-0.1582	-0.1582	-0.1582
-0.0315	-0.0315	-0.0315	-0.0315	-0.0315	-0.0315	-0.0315	-0.0315
-0.2039	-0.2039	-0.2039	-0.2039	-0.2039	-0.2039	-0.2039	-0.2039
0.0956	0.0956	0.0956	0.0956	0.0956	0.0956	0.0956	0.0956
-0.0535	-0.0535	-0.0535	-0.0535	-0.0535	-0.0535	-0.0535	-0.0535
0.3245	0.3245	0.3245	0.3245	0.3245	0.3245	0.3245	0.3245
0.2345	0.2345	0.2345	0.2345	0.2345	0.2345	0.2345	0.2345
0.4316	0.4316	0.4316	0.4316	0.4316	0.4316	0.4316	0.4316
-0.0233	-0.0233	-0.0233	-0.0233	-0.0233	-0.0233	-0.0233	-0.0233
0.1827	0.1827	0.1827	0.1827	0.1827	0.1827	0.1827	0.1827
-0.0311	-0.0311	-0.0311	-0.0311	-0.0311	-0.0311	-0.0311	-0.0311
0.3778	0.3778	0.3778	0.3778	0.3778	0.3778	0.3778	0.3778
-0.0074	-0.0074	-0.0074	-0.0074	-0.0074	-0.0074	-0.0074	-0.0074
0.2051	0.2051	0.2051	0.2051	0.2051	0.2051	0.2051	0.2051
0.1974	0.1974	0.1974	0.1974	0.1974	0.1974	0.1974	0.1974
-0.0305	-0.0305	-0.0305	-0.0305	-0.0305	-0.0305	-0.0305	-0.0305
0.1247	0.1247	0.1247	0.1247	0.1247	0.1247	0.1247	0.1247
0.1122	0.1122	0.1122	0.1122	0.1122	0.1122	0.1122	0.1122
-0.2780	-0.2780	-0.2780	-0.2780	-0.2780	-0.2780	-0.2780	-0.2780
-0.1421	-0.1421	-0.1421	-0.1421	-0.1421	-0.1421	-0.1421	-0.1421
-0.2734	-0.2734	-0.2734	-0.2734	-0.2734	-0.2734	-0.2734	-0.2734
-0.0224	-0.0224	-0.0224	-0.0224	-0.0224	-0.0224	-0.0224	-0.0224
0.3055	0.3055	0.3055	0.3055	0.3055	0.3055	0.3055	0.3055
-0.1609	-0.1609	-0.1609	-0.1609	-0.1609	-0.1609	-0.1609	-0.1609
-0.0041	-0.0041	-0.0041	-0.0041	-0.0041	-0.0041	-0.0041	-0.0041
-0.1002	-0.1002	-0.1002	-0.1002	-0.1002	-0.1002	-0.1002	-0.1002
0.2502	0.2502	0.2502	0.2502	0.2502	0.2502	0.2502	0.2502
